customer_id,first_name,last_name,email_id,gender,telephone_number,shipping_address
68-1661845,Gerry,Bernhardsson,gbernhardsson0@stanford.edu,Male,935-674-7682,91753 Prairieview Point
84-9120453,Silvana,Iron,siron1@hud.gov,Female,633-498-9540,5 Sauthoff Lane
98-2590501,Juli,Bilbie,jbilbie2@mail.ru,Female,973-652-1683,85 Forster Hill
54-7107219,Berna,Parkman,bparkman3@parallels.com,Polygender,998-108-9106,121 Doe Crossing Hill
75-1683581,Si,Mapother,smapother4@chicagotribune.com,Male,279-753-6821,39 Scoville Plaza
96-2005648,Shayne,Garoghan,sgaroghan5@shutterfly.com,Female,593-723-2303,6 Havey Place
79-7259881,Ina,Lamming,ilamming6@statcounter.com,Female,241-724-3308,489 Michigan Junction
96-1072074,Juana,Kingdon,jkingdon7@rediff.com,Female,856-471-2032,3079 Hanover Drive
82-6999194,Man,Diben,mdiben8@printfriendly.com,Polygender,636-962-7694,63573 Memorial Circle
76-9257287,Carlota,Palombi,cpalombi9@timesonline.co.uk,Female,196-722-0628,40 Nobel Junction
42-6847148,Maitilde,Cornils,mcornilsa@cyberchimps.com,Genderqueer,292-283-8080,19 Mayer Place
50-6335951,Munroe,Prangle,mprangleb@google.pl,Male,523-585-1931,4668 Merrick Way
12-1704418,Jackson,Denziloe,jdenziloec@cdbaby.com,Male,723-870-8768,84157 Forster Park
56-0077249,Joscelin,Baldry,jbaldryd@edublogs.org,Female,444-124-7389,339 Lakewood Center
92-5068563,Marita,Hrachovec,mhrachovece@fc2.com,Female,708-757-2408,9123 Monument Hill
20-7968123,Geri,Christall,gchristallf@sun.com,Male,770-432-3178,02 Heath Pass
97-2463216,Leona,Simonyi,lsimonyig@buzzfeed.com,Female,553-357-1485,00377 Beilfuss Pass
91-3377870,Aimil,Duckhouse,aduckhouseh@kickstarter.com,Female,267-916-7381,7439 Eliot Road
55-3290651,Anita,Plackstone,aplackstonei@unesco.org,Female,768-141-1061,2549 Division Hill
79-4026322,Hendrick,Hollingshead,hhollingsheadj@yahoo.co.jp,Male,770-674-3011,0 Melvin Junction
